Media,Tactic,Week_start,Year,Quarter,Month,Week,Spending
KH Digital - Summer (Delish),DIGITAL,2020-02-10,2020,1,2,7,0.0
KH Digital - BTS (Delish),DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - 2-Market Test,DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - Super Bowl (Paid Social),DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - SuperBowl (Search \ RT),DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - Breakfast (Paid Social - Pop Up),DIGITAL,2020-02-10,2020,1,2,7,7636.33
Digital - Breakfast (Paid Social),DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - StayHome (Paid Social),DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - Summer (Paid Social),DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - BTS,DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - Round Bread,DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - Holiday \ 70th,DIGITAL,2020-02-10,2020,1,2,7,0.0
Digital - Boosted Organic Posts,DIGITAL,2020-02-10,2020,1,2,7,0.0
TV - ABC\GMA,TV,2020-02-17,2020,1,2,8,62261.65
TV - ABC\GMA3,TV,2020-02-17,2020,1,2,8,11560.0
TV - Today Show,TV,2020-02-17,2020,1,2,8,49492.1
TV - E!,TV,2020-02-17,2020,1,2,8,0.0
TV - Fox News,TV,2020-02-17,2020,1,2,8,25020.6
TV - Weather Channel,TV,2020-02-17,2020,1,2,8,23171.238
TV - Recipe.TV,TV,2020-02-17,2020,1,2,8,374.204
TV - Simulmedia,TV,2020-02-17,2020,1,2,8,210000.0
TV - FreeWheel,TV,2020-02-17,2020,1,2,8,120000.0
TV - Kelly Clarkson Show,TV,2020-02-17,2020,1,2,8,0.0
TV - Sinclair (Global Citizen),TV,2020-02-17,2020,1,2,8,0.0
TV - Cadent (Addressable),TV,2020-02-17,2020,1,2,8,125000.0
Sinclair - Local Market (TV),TV,2020-02-17,2020,1,2,8,83430.05
Sponsorship - GMA,SPONSORSHIP,2020-02-17,2020,1,2,8,0.0
Sponsorship - Today Show,SPONSORSHIP,2020-02-17,2020,1,2,8,0.0
Sponsorship - Access Live,SPONSORSHIP,2020-02-17,2020,1,2,8,0.0
Sponsorship - E!,SPONSORSHIP,2020-02-17,2020,1,2,8,0.0
Sponsorship - Kelly Clarkson Show,SPONSORSHIP,2020-02-17,2020,1,2,8,0.0
Radio - NYC Pop Up,RADIO,2020-02-17,2020,1,2,8,5450.0
Print - FNMagazine \ MSL Holiday,PRINT,2020-02-17,2020,1,2,8,22081.25
OOH - Billups,BILLBOARD,2020-02-17,2020,1,2,8,124993.75
Ambassador - Jenna Fischer,INFLUENCER,2020-02-17,2020,1,2,8,0.0
Sinclair - Local Market (Digital),DIGITAL,2020-02-17,2020,1,2,8,0.0
GMA (Digital),DIGITAL,2020-02-17,2020,1,2,8,209140.875
NBCU - Today Show (Digital),DIGITAL,2020-02-17,2020,1,2,8,0.0
NBCU - Access Live (Digital),DIGITAL,2020-02-17,2020,1,2,8,0.0
NBCU - E! (Digital),DIGITAL,2020-02-17,2020,1,2,8,0.0
NBCU - Tasty,DIGITAL,2020-02-17,2020,1,2,8,53070.595
